model,rho,v_min,v_max,v_mean,trial,jaccard,llm_share_rate,gt_share_rate,source_file,source_line
deepseek-r1,0.3,0.3,0.6,0.44999999999999996,1,0.4,0.4,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,2181
deepseek-r1,0.3,0.3,0.6,0.44999999999999996,2,0.35,0.35,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,2404
deepseek-r1,0.3,0.3,0.6,0.44999999999999996,3,0.4,0.4,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,2411
deepseek-r1,0.3,0.6,0.9,0.75,1,0.35,0.35,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,2633
deepseek-r1,0.3,0.6,0.9,0.75,2,0.15,0.15,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,2640
deepseek-r1,0.3,0.6,0.9,0.75,3,0.25,0.25,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,2863
deepseek-r1,0.3,0.9,1.2,1.05,1,0.3076923076923077,0.2,0.65,sensitivity_results\scenario_b\summary_all_results_2.json,5048
deepseek-r1,0.3,0.9,1.2,1.05,2,0.46153846153846156,0.3,0.65,sensitivity_results\scenario_b\summary_all_results_2.json,5270
deepseek-r1,0.3,0.9,1.2,1.05,3,0.3076923076923077,0.2,0.65,sensitivity_results\scenario_b\summary_all_results_2.json,5277
deepseek-r1,0.6,0.3,0.6,0.44999999999999996,1,0.25,0.25,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,5495
deepseek-r1,0.6,0.3,0.6,0.44999999999999996,2,0.35,0.35,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,5502
deepseek-r1,0.6,0.3,0.6,0.44999999999999996,3,0.15,0.15,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,5722
deepseek-r1,0.6,0.6,0.9,0.75,1,0.2,0.2,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,7712
deepseek-r1,0.6,0.6,0.9,0.75,2,0.15,0.15,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,7917
deepseek-r1,0.6,0.6,0.9,0.75,3,0.2,0.2,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,7924
deepseek-r1,0.6,0.9,1.2,1.05,1,0.2,0.15,0.75,sensitivity_results\scenario_b\summary_all_results_2.json,8131
deepseek-r1,0.6,0.9,1.2,1.05,2,0.4,0.3,0.75,sensitivity_results\scenario_b\summary_all_results_2.json,8138
deepseek-r1,0.6,0.9,1.2,1.05,3,0.4,0.3,0.75,sensitivity_results\scenario_b\summary_all_results_2.json,8343
deepseek-r1,0.9,0.3,0.6,0.44999999999999996,1,0.55,0.55,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,10528
deepseek-r1,0.9,0.3,0.6,0.44999999999999996,2,0.45,0.45,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,10748
deepseek-r1,0.9,0.3,0.6,0.44999999999999996,3,0.4,0.4,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,10755
deepseek-r1,0.9,0.6,0.9,0.75,1,0.65,0.65,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,10977
deepseek-r1,0.9,0.6,0.9,0.75,2,0.5,0.5,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,10984
deepseek-r1,0.9,0.6,0.9,0.75,3,0.45,0.45,1.0,sensitivity_results\scenario_b\summary_all_results_2.json,11202
deepseek-r1,0.9,0.9,1.2,1.05,1,0.3157894736842105,0.3,0.95,sensitivity_results\scenario_b\summary_all_results_2.json,13387
deepseek-r1,0.9,0.9,1.2,1.05,2,0.3157894736842105,0.3,0.95,sensitivity_results\scenario_b\summary_all_results_2.json,13606
deepseek-r1,0.9,0.9,1.2,1.05,3,0.42105263157894735,0.4,0.95,sensitivity_results\scenario_b\summary_all_results_2.json,13613
deepseek-v3-0324,0.3,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2179
deepseek-v3-0324,0.3,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2414
deepseek-v3-0324,0.3,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2421
deepseek-v3-0324,0.3,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2656
deepseek-v3-0324,0.3,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2663
deepseek-v3-0324,0.3,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2898
deepseek-v3-0324,0.3,0.9,1.2,1.05,1,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,5083
deepseek-v3-0324,0.3,0.9,1.2,1.05,2,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,5318
deepseek-v3-0324,0.3,0.9,1.2,1.05,3,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,5325
deepseek-v3-0324,0.6,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,5560
deepseek-v3-0324,0.6,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,5567
deepseek-v3-0324,0.6,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,5802
deepseek-v3-0324,0.6,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,7783
deepseek-v3-0324,0.6,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,7997
deepseek-v3-0324,0.6,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,8004
deepseek-v3-0324,0.6,0.9,1.2,1.05,1,1.0,0.75,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,8218
deepseek-v3-0324,0.6,0.9,1.2,1.05,2,1.0,0.75,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,8225
deepseek-v3-0324,0.6,0.9,1.2,1.05,3,1.0,0.75,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,8439
deepseek-v3-0324,0.9,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10624
deepseek-v3-0324,0.9,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10859
deepseek-v3-0324,0.9,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10866
deepseek-v3-0324,0.9,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,11101
deepseek-v3-0324,0.9,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,11108
deepseek-v3-0324,0.9,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,11343
deepseek-v3-0324,0.9,0.9,1.2,1.05,1,0.6842105263157895,0.65,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,13527
deepseek-v3-0324,0.9,0.9,1.2,1.05,2,0.7368421052631579,0.7,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,13762
deepseek-v3-0324,0.9,0.9,1.2,1.05,3,0.7894736842105263,0.75,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,13769
deepseek-v3.1,0.3,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1453
deepseek-v3.1,0.3,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1688
deepseek-v3.1,0.3,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1695
deepseek-v3.1,0.3,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1930
deepseek-v3.1,0.3,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1937
deepseek-v3.1,0.3,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,2172
deepseek-v3.1,0.3,0.9,1.2,1.05,1,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,4357
deepseek-v3.1,0.3,0.9,1.2,1.05,2,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,4592
deepseek-v3.1,0.3,0.9,1.2,1.05,3,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,4599
deepseek-v3.1,0.6,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,4834
deepseek-v3.1,0.6,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,4841
deepseek-v3.1,0.6,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,5076
deepseek-v3.1,0.6,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,7120
deepseek-v3.1,0.6,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,7334
deepseek-v3.1,0.6,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,7341
deepseek-v3.1,0.6,0.9,1.2,1.05,1,1.0,0.75,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,7555
